30
x1,x2,Class
Continuo,Continuo,Nominal
-2.145041,-7.708284,-
6.560035,7.920449,-
8.613048,6.983672,-
0.929621,-3.847953,+
9.795841,7.153157,-
-4.326686,-4.094327,-
-5.405334,-9.131876,-
-0.856055,0.281320,+
5.011165,-6.564723,+
-6.710543,-8.125433,-
4.671160,6.634752,-
-9.217275,-0.830336,-
-8.220424,4.697101,+
0.792249,-3.763636,+
7.357287,4.746051,-
5.028748,-5.540929,+
-3.216877,1.767946,+
-2.669211,1.301226,+
3.627707,9.608389,-
9.038862,5.913326,-
0.394361,-1.699619,+
6.797061,3.100037,-
-3.070425,6.621557,+
-9.798191,3.501738,+
-3.966911,-4.282094,-
4.911208,-8.924490,+
7.527897,7.775169,-
9.412715,1.101319,-
7.842585,-0.683872,+
-2.414422,-4.469673,-
